Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_latest.pth (optimizers: optimizer)
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/500] | Sampled: 251.75 | Baseline: 248.28 | Improvement: -3.47 | Win Rate: 37.50% | Actor Loss: 0.5224 | Entropy: 0.2520 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 251.62 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 251.62)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/500] | Sampled: 250.97 | Baseline: 247.97 | Improvement: -3.00 | Win Rate: 37.50% | Actor Loss: -0.2479 | Entropy: 0.2753 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [3/500] | Sampled: 249.75 | Baseline: 249.59 | Improvement: -0.16 | Win Rate: 43.75% | Actor Loss: 0.2050 | Entropy: 0.2624 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [4/500] | Sampled: 250.59 | Baseline: 246.69 | Improvement: -3.91 | Win Rate: 31.25% | Actor Loss: -0.3020 | Entropy: 0.2696 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [5/500] | Sampled: 250.88 | Baseline: 249.75 | Improvement: -1.12 | Win Rate: 43.75% | Actor Loss: 0.4075 | Entropy: 0.2487 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [6/500] | Sampled: 252.91 | Baseline: 250.88 | Improvement: -2.03 | Win Rate: 43.75% | Actor Loss: 0.2367 | Entropy: 0.2361 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [7/500] | Sampled: 248.00 | Baseline: 249.12 | Improvement: 1.12 | Win Rate: 50.00% | Actor Loss: 0.1743 | Entropy: 0.2368 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 251.75 | Baseline: 247.97 | Improvement: -3.78 | Win Rate: 31.25% | Actor Loss: 0.0864 | Entropy: 0.2666 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [9/500] | Sampled: 251.81 | Baseline: 250.19 | Improvement: -1.62 | Win Rate: 46.88% | Actor Loss: 0.3044 | Entropy: 0.2502 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 252.59 | Baseline: 250.25 | Improvement: -2.34 | Win Rate: 40.62% | Actor Loss: 0.2392 | Entropy: 0.2407 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [11/500] | Sampled: 254.94 | Baseline: 254.03 | Improvement: -0.91 | Win Rate: 43.75% | Actor Loss: 0.9677 | Entropy: 0.2419 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [12/500] | Sampled: 409.69 | Baseline: 249.41 | Improvement: -160.28 | Win Rate: 0.00% | Actor Loss: -0.4104 | Entropy: 0.2918 | Invalid S/B: 0.16/0.00 | Max Load: 10.1 | Load Gap: 6.8
Epoch [13/500] | Sampled: 249.88 | Baseline: 248.88 | Improvement: -1.00 | Win Rate: 50.00% | Actor Loss: 0.2564 | Entropy: 0.2538 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [14/500] | Sampled: 251.00 | Baseline: 250.03 | Improvement: -0.97 | Win Rate: 34.38% | Actor Loss: -0.0043 | Entropy: 0.2187 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [15/500] | Sampled: 250.50 | Baseline: 251.19 | Improvement: 0.69 | Win Rate: 46.88% | Actor Loss: 0.0654 | Entropy: 0.2179 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [16/500] | Sampled: 251.38 | Baseline: 251.84 | Improvement: 0.47 | Win Rate: 43.75% | Actor Loss: 0.2267 | Entropy: 0.2271 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [17/500] | Sampled: 256.78 | Baseline: 247.47 | Improvement: -9.31 | Win Rate: 15.62% | Actor Loss: 0.4407 | Entropy: 0.2244 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [18/500] | Sampled: 250.94 | Baseline: 253.56 | Improvement: 2.62 | Win Rate: 68.75% | Actor Loss: -0.2933 | Entropy: 0.2391 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [19/500] | Sampled: 251.69 | Baseline: 250.00 | Improvement: -1.69 | Win Rate: 43.75% | Actor Loss: -0.1986 | Entropy: 0.2422 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [20/500] | Sampled: 255.88 | Baseline: 250.28 | Improvement: -5.59 | Win Rate: 12.50% | Actor Loss: 0.1724 | Entropy: 0.2141 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [21/500] | Sampled: 251.00 | Baseline: 248.03 | Improvement: -2.97 | Win Rate: 25.00% | Actor Loss: 0.1814 | Entropy: 0.2330 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [22/500] | Sampled: 250.75 | Baseline: 249.28 | Improvement: -1.47 | Win Rate: 43.75% | Actor Loss: 0.4620 | Entropy: 0.2130 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [23/500] | Sampled: 248.69 | Baseline: 246.59 | Improvement: -2.09 | Win Rate: 34.38% | Actor Loss: 0.4009 | Entropy: 0.2483 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [24/500] | Sampled: 249.66 | Baseline: 248.81 | Improvement: -0.84 | Win Rate: 53.12% | Actor Loss: 0.1981 | Entropy: 0.2523 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [25/500] | Sampled: 249.25 | Baseline: 247.34 | Improvement: -1.91 | Win Rate: 25.00% | Actor Loss: -0.1905 | Entropy: 0.2267 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
