Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/500] | Sampled: 244.78 | Baseline: 248.28 | Improvement: 3.50 | Win Rate: 68.75% | Actor Loss: -0.6666 | Entropy: 0.4952 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 245.84 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 245.84)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/500] | Sampled: 244.16 | Baseline: 247.97 | Improvement: 3.81 | Win Rate: 65.62% | Actor Loss: 0.0925 | Entropy: 0.5241 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [3/500] | Sampled: 247.19 | Baseline: 249.59 | Improvement: 2.41 | Win Rate: 62.50% | Actor Loss: -0.2022 | Entropy: 0.5003 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [4/500] | Sampled: 244.00 | Baseline: 246.69 | Improvement: 2.69 | Win Rate: 56.25% | Actor Loss: -0.1331 | Entropy: 0.4877 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [5/500] | Sampled: 248.75 | Baseline: 249.75 | Improvement: 1.00 | Win Rate: 53.12% | Actor Loss: -0.6199 | Entropy: 0.5094 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [6/500] | Sampled: 246.44 | Baseline: 250.88 | Improvement: 4.44 | Win Rate: 71.88% | Actor Loss: 0.0840 | Entropy: 0.4560 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [7/500] | Sampled: 246.78 | Baseline: 249.12 | Improvement: 2.34 | Win Rate: 68.75% | Actor Loss: 0.5745 | Entropy: 0.5055 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 248.81 | Baseline: 247.97 | Improvement: -0.84 | Win Rate: 40.62% | Actor Loss: -0.4537 | Entropy: 0.5321 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
