Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/500] | Sampled: 256.94 | Baseline: 248.28 | Improvement: -8.66 | Win Rate: 9.38% | Job Loss: -1.6281 | AMR Loss: -0.4429 | Entropy: 1.0496 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 255.28 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 255.28)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/500] | Sampled: 257.12 | Baseline: 247.97 | Improvement: -9.16 | Win Rate: 15.62% | Job Loss: -1.0074 | AMR Loss: 0.5219 | Entropy: 1.1190 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [3/500] | Sampled: 256.03 | Baseline: 249.59 | Improvement: -6.44 | Win Rate: 25.00% | Job Loss: -0.5150 | AMR Loss: -0.0054 | Entropy: 1.1647 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [4/500] | Sampled: 258.09 | Baseline: 246.69 | Improvement: -11.41 | Win Rate: 12.50% | Job Loss: -1.8437 | AMR Loss: -1.2705 | Entropy: 1.2057 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 257.06 | Baseline: 249.75 | Improvement: -7.31 | Win Rate: 15.62% | Job Loss: -1.2144 | AMR Loss: -0.6922 | Entropy: 1.2064 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [6/500] | Sampled: 257.75 | Baseline: 250.88 | Improvement: -6.88 | Win Rate: 21.88% | Job Loss: -1.3654 | AMR Loss: -0.8925 | Entropy: 1.2142 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 258.25 | Baseline: 249.12 | Improvement: -9.12 | Win Rate: 15.62% | Job Loss: -0.2412 | AMR Loss: -1.3881 | Entropy: 1.2603 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 256.12 | Baseline: 247.97 | Improvement: -8.16 | Win Rate: 18.75% | Job Loss: -0.6477 | AMR Loss: -0.7719 | Entropy: 1.1730 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 255.19 | Baseline: 250.19 | Improvement: -5.00 | Win Rate: 34.38% | Job Loss: -0.6272 | AMR Loss: -0.5079 | Entropy: 1.1773 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 258.50 | Baseline: 250.25 | Improvement: -8.25 | Win Rate: 18.75% | Job Loss: -0.2044 | AMR Loss: -0.2427 | Entropy: 1.1362 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [11/500] | Sampled: 259.41 | Baseline: 254.03 | Improvement: -5.38 | Win Rate: 34.38% | Job Loss: -1.9847 | AMR Loss: -0.4312 | Entropy: 1.0745 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [12/500] | Sampled: 258.16 | Baseline: 249.41 | Improvement: -8.75 | Win Rate: 21.88% | Job Loss: -0.6907 | AMR Loss: -0.2904 | Entropy: 1.0512 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [13/500] | Sampled: 252.34 | Baseline: 248.88 | Improvement: -3.47 | Win Rate: 37.50% | Job Loss: -0.8540 | AMR Loss: 0.7443 | Entropy: 1.1120 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [14/500] | Sampled: 254.94 | Baseline: 250.03 | Improvement: -4.91 | Win Rate: 28.12% | Job Loss: -2.7371 | AMR Loss: -0.3977 | Entropy: 1.0514 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [15/500] | Sampled: 257.09 | Baseline: 251.19 | Improvement: -5.91 | Win Rate: 25.00% | Job Loss: -1.4265 | AMR Loss: -0.1482 | Entropy: 1.0407 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [16/500] | Sampled: 258.75 | Baseline: 251.84 | Improvement: -6.91 | Win Rate: 25.00% | Job Loss: -1.8062 | AMR Loss: -0.1384 | Entropy: 1.0606 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [17/500] | Sampled: 254.56 | Baseline: 247.47 | Improvement: -7.09 | Win Rate: 15.62% | Job Loss: 0.1819 | AMR Loss: -0.7753 | Entropy: 1.0183 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [18/500] | Sampled: 256.34 | Baseline: 253.56 | Improvement: -2.78 | Win Rate: 37.50% | Job Loss: -2.3836 | AMR Loss: -0.2434 | Entropy: 1.0150 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [19/500] | Sampled: 253.69 | Baseline: 250.00 | Improvement: -3.69 | Win Rate: 28.12% | Job Loss: -1.5132 | AMR Loss: -0.2588 | Entropy: 1.0044 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [20/500] | Sampled: 258.72 | Baseline: 250.28 | Improvement: -8.44 | Win Rate: 15.62% | Job Loss: -0.7526 | AMR Loss: -0.2189 | Entropy: 1.0318 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [21/500] | Sampled: 253.12 | Baseline: 248.03 | Improvement: -5.09 | Win Rate: 21.88% | Job Loss: -1.2303 | AMR Loss: -0.2721 | Entropy: 1.0177 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [22/500] | Sampled: 256.31 | Baseline: 249.28 | Improvement: -7.03 | Win Rate: 18.75% | Job Loss: -0.2581 | AMR Loss: -0.3730 | Entropy: 0.9870 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [23/500] | Sampled: 253.06 | Baseline: 246.59 | Improvement: -6.47 | Win Rate: 21.88% | Job Loss: -1.5152 | AMR Loss: -0.4780 | Entropy: 1.0319 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
