Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/500] | Sampled: 257.41 | Baseline: 248.28 | Improvement: -9.12 | Win Rate: 9.38% | Job Loss: -2.2567 | AMR Loss: -0.8608 | Entropy: 1.2919 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 254.16 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 254.16)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/500] | Sampled: 256.69 | Baseline: 247.97 | Improvement: -8.72 | Win Rate: 12.50% | Job Loss: -2.0480 | AMR Loss: -0.6471 | Entropy: 1.3150 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [3/500] | Sampled: 257.69 | Baseline: 249.59 | Improvement: -8.09 | Win Rate: 18.75% | Job Loss: -1.9965 | AMR Loss: -0.7672 | Entropy: 1.2754 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [4/500] | Sampled: 256.62 | Baseline: 246.69 | Improvement: -9.94 | Win Rate: 9.38% | Job Loss: 0.1219 | AMR Loss: -1.0574 | Entropy: 1.2447 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 260.62 | Baseline: 249.75 | Improvement: -10.88 | Win Rate: 6.25% | Job Loss: -1.9104 | AMR Loss: -1.8723 | Entropy: 1.2024 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [6/500] | Sampled: 257.12 | Baseline: 250.88 | Improvement: -6.25 | Win Rate: 21.88% | Job Loss: -1.2657 | AMR Loss: -0.4015 | Entropy: 1.0849 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 256.09 | Baseline: 249.12 | Improvement: -6.97 | Win Rate: 15.62% | Job Loss: -0.7630 | AMR Loss: -0.4752 | Entropy: 1.0455 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 253.16 | Baseline: 247.97 | Improvement: -5.19 | Win Rate: 18.75% | Job Loss: -1.7918 | AMR Loss: -0.7059 | Entropy: 1.0144 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [9/500] | Sampled: 257.22 | Baseline: 250.19 | Improvement: -7.03 | Win Rate: 31.25% | Job Loss: -3.9707 | AMR Loss: -0.4999 | Entropy: 0.9864 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 257.06 | Baseline: 250.25 | Improvement: -6.81 | Win Rate: 15.62% | Job Loss: -0.4953 | AMR Loss: 0.1298 | Entropy: 0.9562 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [11/500] | Sampled: 256.62 | Baseline: 254.03 | Improvement: -2.59 | Win Rate: 34.38% | Job Loss: -0.3802 | AMR Loss: -0.2243 | Entropy: 0.9277 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [12/500] | Sampled: 254.00 | Baseline: 249.41 | Improvement: -4.59 | Win Rate: 15.62% | Job Loss: -0.7994 | AMR Loss: -0.5273 | Entropy: 0.8976 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [13/500] | Sampled: 252.34 | Baseline: 248.88 | Improvement: -3.47 | Win Rate: 34.38% | Job Loss: -0.9948 | AMR Loss: 0.1184 | Entropy: 0.9756 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [14/500] | Sampled: 252.72 | Baseline: 250.03 | Improvement: -2.69 | Win Rate: 34.38% | Job Loss: -1.6434 | AMR Loss: -0.4294 | Entropy: 0.9312 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [15/500] | Sampled: 255.84 | Baseline: 251.19 | Improvement: -4.66 | Win Rate: 25.00% | Job Loss: -1.0992 | AMR Loss: -0.5130 | Entropy: 0.9292 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [16/500] | Sampled: 257.50 | Baseline: 251.84 | Improvement: -5.66 | Win Rate: 18.75% | Job Loss: 0.0761 | AMR Loss: 0.2821 | Entropy: 0.9177 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [17/500] | Sampled: 257.62 | Baseline: 247.47 | Improvement: -10.16 | Win Rate: 18.75% | Job Loss: -0.7887 | AMR Loss: -0.5958 | Entropy: 0.9021 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [18/500] | Sampled: 258.72 | Baseline: 253.56 | Improvement: -5.16 | Win Rate: 25.00% | Job Loss: -0.5682 | AMR Loss: -0.7160 | Entropy: 0.9134 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [19/500] | Sampled: 257.16 | Baseline: 250.00 | Improvement: -7.16 | Win Rate: 18.75% | Job Loss: -0.0632 | AMR Loss: 0.1853 | Entropy: 0.8734 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [20/500] | Sampled: 258.06 | Baseline: 250.28 | Improvement: -7.78 | Win Rate: 9.38% | Job Loss: -2.6439 | AMR Loss: -0.2615 | Entropy: 0.9270 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [21/500] | Sampled: 255.44 | Baseline: 248.03 | Improvement: -7.41 | Win Rate: 18.75% | Job Loss: -1.3365 | AMR Loss: -0.1881 | Entropy: 0.9414 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [22/500] | Sampled: 256.31 | Baseline: 249.28 | Improvement: -7.03 | Win Rate: 15.62% | Job Loss: -1.3975 | AMR Loss: -0.1487 | Entropy: 0.8922 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [23/500] | Sampled: 252.69 | Baseline: 246.59 | Improvement: -6.09 | Win Rate: 28.12% | Job Loss: -1.0291 | AMR Loss: -0.5627 | Entropy: 0.9159 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [24/500] | Sampled: 255.66 | Baseline: 248.81 | Improvement: -6.84 | Win Rate: 3.12% | Job Loss: 0.2453 | AMR Loss: -0.7293 | Entropy: 0.8773 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 255.53 | Baseline: 247.34 | Improvement: -8.19 | Win Rate: 18.75% | Job Loss: -1.1675 | AMR Loss: -0.4840 | Entropy: 0.8600 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [26/500] | Sampled: 257.16 | Baseline: 249.97 | Improvement: -7.19 | Win Rate: 12.50% | Job Loss: -1.0712 | AMR Loss: -0.5149 | Entropy: 0.8724 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 256.25 | Baseline: 253.97 | Improvement: -2.28 | Win Rate: 37.50% | Job Loss: -1.3147 | AMR Loss: -0.4204 | Entropy: 0.8816 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 253.69 | Baseline: 249.94 | Improvement: -3.75 | Win Rate: 37.50% | Job Loss: -0.9641 | AMR Loss: -0.3366 | Entropy: 0.8743 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [29/500] | Sampled: 258.12 | Baseline: 252.41 | Improvement: -5.72 | Win Rate: 31.25% | Job Loss: -0.4094 | AMR Loss: 0.0392 | Entropy: 0.9005 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [30/500] | Sampled: 256.28 | Baseline: 251.12 | Improvement: -5.16 | Win Rate: 25.00% | Job Loss: -1.5570 | AMR Loss: -0.2189 | Entropy: 0.9027 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 253.59 | Baseline: 247.75 | Improvement: -5.84 | Win Rate: 28.12% | Job Loss: 0.2691 | AMR Loss: -0.5507 | Entropy: 0.8860 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [32/500] | Sampled: 255.56 | Baseline: 246.53 | Improvement: -9.03 | Win Rate: 9.38% | Job Loss: -0.0720 | AMR Loss: -0.3950 | Entropy: 0.8713 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [33/500] | Sampled: 256.28 | Baseline: 251.66 | Improvement: -4.62 | Win Rate: 18.75% | Job Loss: -0.4583 | AMR Loss: 0.1181 | Entropy: 0.8973 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [34/500] | Sampled: 255.47 | Baseline: 245.44 | Improvement: -10.03 | Win Rate: 12.50% | Job Loss: 0.3560 | AMR Loss: -1.2889 | Entropy: 0.9514 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 253.16 | Baseline: 248.47 | Improvement: -4.69 | Win Rate: 28.12% | Job Loss: -0.8206 | AMR Loss: -0.2833 | Entropy: 0.8953 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [36/500] | Sampled: 257.06 | Baseline: 249.22 | Improvement: -7.84 | Win Rate: 18.75% | Job Loss: -0.5161 | AMR Loss: -0.0162 | Entropy: 0.9103 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 255.47 | Baseline: 251.25 | Improvement: -4.22 | Win Rate: 25.00% | Job Loss: -0.0607 | AMR Loss: -0.3700 | Entropy: 0.8925 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [38/500] | Sampled: 258.09 | Baseline: 249.94 | Improvement: -8.16 | Win Rate: 18.75% | Job Loss: -0.7167 | AMR Loss: -0.4939 | Entropy: 0.8849 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 255.19 | Baseline: 251.81 | Improvement: -3.38 | Win Rate: 37.50% | Job Loss: -0.6646 | AMR Loss: -0.0057 | Entropy: 0.8605 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 254.50 | Baseline: 247.06 | Improvement: -7.44 | Win Rate: 12.50% | Job Loss: -1.8314 | AMR Loss: -1.0098 | Entropy: 0.9516 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [41/500] | Sampled: 252.88 | Baseline: 247.62 | Improvement: -5.25 | Win Rate: 25.00% | Job Loss: -0.3198 | AMR Loss: -0.1778 | Entropy: 0.9062 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
